timestamp,value,country
2021-12-22T00:00:00Z,6178802.0,FJ
2022-01-22T00:00:00Z,6201931.0,FJ
2022-02-22T00:00:00Z,6294167.0,FJ
2022-03-22T00:00:00Z,6374514.0,FJ
2022-04-22T00:00:00Z,6433612.0,FJ
2022-05-22T00:00:00Z,6482805.0,FJ
2022-06-22T00:00:00Z,6556850.0,FJ
2022-07-22T00:00:00Z,6606017.0,FJ
2022-08-22T00:00:00Z,6673883.0,FJ
2022-09-22T00:00:00Z,6777523.0,FJ
2022-10-22T00:00:00Z,6792517.0,FJ
2022-11-22T00:00:00Z,6827191.0,FJ
2022-12-22T00:00:00Z,6850291.0,FJ
2023-01-22T00:00:00Z,6877900.0,FJ
2023-02-22T00:00:00Z,6913842.0,FJ
2023-03-22T00:00:00Z,6909722.0,FJ
2023-04-22T00:00:00Z,6989616.0,FJ
2023-05-22T00:00:00Z,7025362.0,FJ
2023-06-22T00:00:00Z,7053043.0,FJ
2023-07-22T00:00:00Z,7055164.0,FJ
2023-08-22T00:00:00Z,7083385.0,FJ
2023-09-22T00:00:00Z,7119758.0,FJ
2023-10-22T00:00:00Z,7157517.0,FJ
2023-11-22T00:00:00Z,7187134.0,FJ
2023-12-22T00:00:00Z,7222440.0,FJ
2024-01-22T00:00:00Z,7246722.0,FJ
2024-02-22T00:00:00Z,7267756.0,FJ
2024-03-22T00:00:00Z,7276307.0,FJ
2024-04-22T00:00:00Z,7292920.0,FJ
2024-05-22T00:00:00Z,7320637.0,FJ
2024-06-22T00:00:00Z,7351964.0,FJ
2024-07-22T00:00:00Z,7366012.0,FJ
2024-08-22T00:00:00Z,7397246.0,FJ
2024-09-22T00:00:00Z,7431340.0,FJ
2024-10-22T00:00:00Z,7440361.0,FJ
2024-11-22T00:00:00Z,7455920.0,FJ
2024-12-22T00:00:00Z,7470079.0,FJ
2025-01-22T00:00:00Z,7502271.0,FJ
2025-02-22T00:00:00Z,7554269.0,FJ
2025-03-22T00:00:00Z,7565825.0,FJ
2025-04-22T00:00:00Z,7687816.0,FJ
2025-05-22T00:00:00Z,7714428.0,FJ
2025-06-22T00:00:00Z,7769413.0,FJ
2025-07-22T00:00:00Z,7781849.0,FJ
2025-08-22T00:00:00Z,7793770.0,FJ
2025-09-22T00:00:00Z,7807772.0,FJ
2025-10-22T00:00:00Z,7843898.0,FJ
2008-01-22T00:00:00Z,0.0,TO
2008-02-22T00:00:00Z,0.0,TO
2008-03-22T00:00:00Z,0.0,TO
2008-04-22T00:00:00Z,0.0,TO
2008-05-22T00:00:00Z,0.0,TO
2008-06-22T00:00:00Z,0.0,TO
2008-07-22T00:00:00Z,0.0,TO
2008-08-22T00:00:00Z,0.0,TO
2008-09-22T00:00:00Z,0.0,TO
2008-10-22T00:00:00Z,0.0,TO
2008-11-22T00:00:00Z,0.0,TO
2008-12-22T00:00:00Z,0.0,TO
2009-01-22T00:00:00Z,0.0,TO
2009-02-22T00:00:00Z,0.0,TO
2009-03-22T00:00:00Z,0.0,TO
2009-04-22T00:00:00Z,0.0,TO
2009-05-22T00:00:00Z,0.0,TO
2009-06-22T00:00:00Z,0.0,TO
2009-07-22T00:00:00Z,0.0,TO
2009-08-22T00:00:00Z,0.0,TO
2009-09-22T00:00:00Z,0.0,TO
2009-10-22T00:00:00Z,0.0,TO
2009-11-22T00:00:00Z,0.0,TO
2009-12-22T00:00:00Z,0.0,TO
2010-01-22T00:00:00Z,0.0,TO
2010-02-22T00:00:00Z,0.0,TO
2010-03-22T00:00:00Z,0.0,TO
2010-04-22T00:00:00Z,0.0,TO
2010-05-22T00:00:00Z,0.0,TO
2010-06-22T00:00:00Z,0.0,TO
2010-07-22T00:00:00Z,0.0,TO
2010-08-22T00:00:00Z,0.0,TO
2010-09-22T00:00:00Z,0.0,TO
2010-10-22T00:00:00Z,0.0,TO
2010-11-22T00:00:00Z,0.0,TO
2010-12-22T00:00:00Z,0.0,TO
2011-01-22T00:00:00Z,0.0,TO
2011-02-22T00:00:00Z,0.0,TO
2011-03-22T00:00:00Z,0.0,TO
2011-04-22T00:00:00Z,1.0,TO
2011-05-22T00:00:00Z,1.0,TO
2011-06-22T00:00:00Z,1.0,TO
2011-07-22T00:00:00Z,1.0,TO
2011-08-22T00:00:00Z,1.0,TO
2011-09-22T00:00:00Z,1.0,TO
2011-10-22T00:00:00Z,1.0,TO
2011-11-22T00:00:00Z,1.0,TO
2011-12-22T00:00:00Z,1.0,TO
