event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
remote_event,89.651271554473,"35.15625,-22.1484375,35.859375,-21.796875",1,1,649.35
remote_event,80.1778469930779,"32.6953125,-9.140625,33.046875,-8.96484375",1,1,6295.36
remote_event,82.1620104067966,"33.046875,-8.7890625,33.75,-8.4375",1,1,571.04
remote_event,90.1107002171977,"33.3984375,-2.98828125,33.75,-2.8125",1,1,1932.28
remote_event,89.756955249891,"31.9921875,-2.8125,32.34375,-2.63671875",1,1,1516.33
remote_event,83.2583197217241,"32.34375,-2.8125,32.6953125,-2.63671875",1,1,2263.6
remote_event,90.8819378771182,"32.34375,-2.63671875,32.6953125,-2.4609375",1,1,1924.49
remote_event,90.3651343050748,"33.3984375,-2.8125,33.75,-2.63671875",1,1,2149.66
remote_event,84.3024685212239,"34.453125,-9.4921875,35.15625,-9.140625",1,1,2100.11
remote_event,85.5011813394691,"35.15625,-9.84375,36.5625,-9.140625",0,1,116.23
remote_event,88.6748313975271,"37.265625,-11.25,37.96875,-10.8984375",1,1,820.95
remote_event,81.8567977119419,"38.671875,-10.546875,39.375,-10.1953125",1,1,1124.22
remote_event,81.8436395235799,"35.15625,-5.9765625,35.859375,-5.625",1,1,782.53
remote_event,89.2741166493094,"33.75,-5.2734375,34.453125,-4.921875",0,1,394.91
remote_event,92.6480572280866,"34.453125,-4.921875,34.8046875,-4.74609375",1,1,4285.74
remote_event,93.9850983251433,"34.8046875,-4.921875,35.15625,-4.74609375",1,1,1380.53
remote_event,87.5833720852986,"35.859375,-5.2734375,36.5625,-4.921875",1,1,797.98
remote_event,88.2113238093928,"35.15625,-3.8671875,35.859375,-3.515625",1,1,920.23
remote_event,84.6799924100538,"36.5625,-4.21875,37.96875,-3.515625",1,1,691.41
remote_event,84.973195226363,"36.5625,-3.515625,37.265625,-3.1640625",1,1,9888.8
remote_event,89.2624780523629,"33.75,-2.8125,34.1015625,-2.63671875",1,1,2659.06
remote_event,83.16851013077,"33.75,-2.109375,34.453125,-1.7578125",1,1,1652.69
remote_event,83.2899849249767,"34.1015625,-1.40625,34.453125,-1.23046875",1,1,3736.05
remote_event,86.2185873702619,"108.984375,-7.734375,109.16015625,-7.646484375",1,1,56165.96
remote_event,80.3660565723793,"107.05078125,-6.3720703125,107.138671875,-6.328125",1,1,102552.65
remote_event,89.3112503006533,"107.9296875,-6.6796875,108.28125,-6.50390625",1,1,7667.43
remote_event,97.3052413139055,"107.9296875,-6.50390625,108.28125,-6.328125",1,1,16451.31
remote_event,91.5743670886076,"108.6328125,-6.85546875,108.984375,-6.6796875",1,1,7135.72
remote_event,93.7234990815477,"108.28125,-6.328125,109.6875,-5.625",0,1,172.26
remote_event,83.1389422376819,"110.0390625,-7.03125,110.21484375,-6.943359375",1,1,34967.9
remote_event,91.1951998082538,"104.0625,-4.21875,104.4140625,-4.04296875",1,1,9871.17
remote_event,86.0532675201809,"115.13671875,-8.5693359375,115.224609375,-8.525390625",1,1,80542.76
remote_event,80.0115605923927,"115.13671875,-8.525390625,115.3125,-8.4375",1,1,27494.37
remote_event,81.6326565720164,"115.3125,-8.525390625,115.48828125,-8.4375",1,1,24239.76
remote_event,87.0687414119656,"112.67578125,-7.55859375,112.763671875,-7.5146484375",1,1,59882.44
remote_event,85.350434025378,"112.763671875,-7.3388671875,112.8515625,-7.294921875",0,1,150054.77
remote_event,85.7009754107659,"112.763671875,-7.2509765625,112.8515625,-7.20703125",0,1,91006.93
remote_event,80.8700189632571,"113.90625,-7.734375,115.3125,-7.03125",1,1,628.59
remote_event,84.3527243197257,"115.3125,-8.4375,115.48828125,-8.349609375",1,1,20298.32
remote_event,89.1134282424594,"115.48828125,-8.4375,115.6640625,-8.349609375",0,1,16042.06
remote_event,84.1719500128266,"120.9375,-8.7890625,121.640625,-8.4375",0,1,1745.03
remote_event,87.5041897880898,"117.0703125,-0.615234375,117.24609375,-0.52734375",1,1,35877.98
remote_event,85.4421804688707,"5.9765625,8.96484375,6.328125,9.140625",1,1,7725.69
remote_event,80.0989759335814,"6.328125,9.140625,7.03125,9.4921875",1,1,1414.48
remote_event,88.3682637189363,"16.875,0.0,19.6875,1.40625",1,1,103.19
remote_event,90.720019798611,"14.765625,10.1953125,15.46875,10.546875",1,1,1078.12
remote_event,85.3989234696584,"14.0625,10.8984375,14.765625,11.25",1,1,649.11
remote_event,91.9041125672612,"22.5,2.8125,25.3125,4.21875",1,1,54.61
remote_event,86.9903686626015,"29.53125,2.109375,30.9375,2.8125",1,1,1105.06
