event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
early_import,80.7498289929409,"-80.5078125,25.6640625,-80.33203125,25.751953125",0,1,19324.8
early_import,80.113882697446,"-73.828125,40.6494140625,-73.740234375,40.693359375",0,1,41642.67
early_import,93.0948345342957,"-90.0,50.625,-87.1875,52.03125",0,0,20.23
early_import,95.1534274016201,"-90.0,53.4375,-84.375,56.25",0,0,6.7
early_import,85.7769945136182,"-75.9375,47.8125,-73.125,49.21875",0,0,175.29
early_import,94.6293391878598,"-71.71875,52.03125,-70.3125,52.734375",0,0,0.0
early_import,95.6630460003238,"-73.125,64.6875,-67.5,67.5",0,0,0.0
early_import,86.7558133251965,"-64.6875,49.21875,-61.875,50.625",0,0,84.65
early_import,88.6313368661425,"-59.0625,46.40625,-56.25,47.8125",0,1,9.33
early_import,87.7089130865756,"-61.875,49.21875,-59.0625,50.625",0,0,17.85
early_import,95.3809470686801,"-57.65625,47.8125,-56.25,48.515625",0,0,132.77
early_import,95.4893136740401,"-67.5,54.84375,-64.6875,56.25",0,0,1.29
early_import,99.0029182879377,"-64.6875,54.84375,-63.28125,55.546875",0,0,0.0
early_import,98.7566540580144,"-64.6875,55.546875,-63.28125,56.25",0,0,0.0
early_import,99.965571657111,"-63.28125,54.84375,-61.875,55.546875",0,0,0.0
early_import,99.8268833735372,"-63.28125,55.546875,-61.875,56.25",0,0,0.0
early_import,98.8356154105281,"-59.0625,52.03125,-56.25,53.4375",0,0,14.15
early_import,98.0929676957218,"-61.875,53.4375,-59.0625,54.84375",0,1,8.34
early_import,96.7628089047798,"-61.875,54.84375,-59.0625,56.25",0,0,3.58
early_import,97.9858969598983,"-59.0625,53.4375,-56.25,54.84375",0,0,4.83
early_import,98.9894049452401,"-64.6875,56.25,-61.875,57.65625",0,0,1.48
early_import,94.5514650575298,"-64.6875,57.65625,-61.875,59.0625",0,0,0.43
early_import,84.5210268685388,"-67.5,59.0625,-61.875,61.875",0,0,0.11
early_import,91.58961615443,"-84.375,67.5,-81.5625,68.90625",0,0,0.0
early_import,85.0397486406353,"14.0625,-17.578125,15.46875,-16.875",0,1,208.71
early_import,86.898719246311,"113.5546875,-8.173828125,113.73046875,-8.0859375",0,1,3555.19
early_import,82.9383366579345,"9.755859375,4.04296875,9.84375,4.0869140625",0,0,11012.59
early_import,87.0627494218779,"17.9296875,39.90234375,18.10546875,39.990234375",0,0,3507.93
early_import,84.621652765225,"17.2265625,40.25390625,17.578125,40.4296875",0,1,3134.82
early_import,90.3678448835699,"98.701171875,3.6474609375,98.7890625,3.69140625",0,0,7618.42
geometry_import,58.2534877723409,"7.734375,48.5595703125,7.7783203125,48.58154296875",0,1,41121.15
geometry_import,50.6191156343006,"8.7890625,50.44921875,9.140625,50.625",0,0,8500.52
geometry_import,58.0428416851217,"4.5703125,51.064453125,4.74609375,51.15234375",0,1,7944.83
tag_import,46.3735597726917,"-80.15625,34.453125,-79.453125,34.8046875",0,0,1775.42
tag_import,46.1944825730049,"-77.34375,36.5625,-76.640625,36.9140625",0,1,2383.88
tag_import,50.3291641197406,"47.8125,29.267578125,47.98828125,29.35546875",0,1,18994.82
tag_import,48.8116672668347,"6.15234375,51.240234375,6.240234375,51.2841796875",0,1,10234.08
tag_import,52.7557510567004,"6.15234375,51.2841796875,6.240234375,51.328125",0,0,9964.23
tag_import,51.1522898030167,"6.240234375,51.2841796875,6.328125,51.328125",0,1,10551.64
late_import,60.338921934624,"-50.625,-19.6875,-47.8125,-18.28125",0,1,1030.39
late_import,79.9853411123163,"-84.375,68.90625,-81.5625,70.3125",0,0,3.06
late_import,60.993160282678,"-3.1640625,53.349609375,-2.98828125,53.4375",0,1,14664.53
late_import,61.9974021373324,"39.19921875,48.515625,39.375,48.603515625",0,0,11736.24
