event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
remote_event,92.4011277814437,"88.330078125,22.6318359375,88.41796875,22.67578125",1,0,141775.02
remote_event,90.0607840806832,"88.9453125,22.67578125,89.12109375,22.763671875",1,0,26666.52
remote_event,83.691829004329,"88.9453125,22.763671875,89.12109375,22.8515625",1,0,11391.25
remote_event,92.6891740026222,"88.9453125,22.939453125,89.12109375,23.02734375",1,0,17903.14
remote_event,92.6507804447976,"89.12109375,22.8515625,89.296875,22.939453125",0,0,16344.6
remote_event,82.03586485838,"89.12109375,22.939453125,89.296875,23.02734375",1,0,15568.22
remote_event,94.8565172848683,"89.12109375,23.02734375,89.296875,23.115234375",1,0,11032.1
remote_event,98.6429986063228,"89.296875,22.8515625,89.47265625,22.939453125",0,0,7284.79
remote_event,86.1673026788075,"85.78125,27.421875,86.1328125,27.59765625",1,0,4941.24
remote_event,81.0849641511533,"87.1875,26.54296875,87.36328125,26.630859375",1,0,16984.99
remote_event,80.5394753309674,"87.5390625,26.3671875,87.890625,26.54296875",1,0,5223.61
remote_event,92.7989290643879,"89.6484375,25.3125,90.0,25.48828125",1,0,1919.25
remote_event,84.7626062596599,"89.6484375,25.48828125,90.0,25.6640625",1,0,4034.91
remote_event,91.773089275639,"108.984375,1.23046875,109.3359375,1.40625",1,0,6820.47
remote_event,80.102201112569,"108.984375,1.40625,109.6875,1.7578125",1,0,1638.94
remote_event,80.7550489931219,"92.109375,20.91796875,92.4609375,21.09375",1,0,3906.9
remote_event,81.909526806872,"90.703125,22.1484375,91.40625,22.5",1,0,1415.87
remote_event,84.7895220511747,"91.7578125,21.97265625,92.109375,22.1484375",1,0,11006.06
remote_event,83.0133793060506,"105.46875,14.765625,106.171875,15.1171875",1,0,1792.6
remote_event,82.3913032424709,"105.46875,15.46875,106.875,16.171875",1,0,653.66
remote_event,84.9622128525358,"120.9375,17.578125,121.640625,17.9296875",1,0,1651.44
remote_event,92.3794449396072,"121.640625,17.75390625,121.9921875,17.9296875",1,0,3359.56
early_import,86.4991806482571,"-46.845703125,-23.6865234375,-46.7578125,-23.642578125",0,0,144147.86
early_import,87.6019986885883,"-46.7578125,-23.818359375,-46.669921875,-23.7744140625",1,0,44562.41
early_import,88.9827933393193,"-46.7578125,-23.7744140625,-46.669921875,-23.73046875",1,0,158663.79
early_import,84.7994344771185,"-46.7578125,-23.73046875,-46.669921875,-23.6865234375",1,0,123647.03
early_import,93.6979707512948,"-46.494140625,-23.642578125,-46.40625,-23.5986328125",1,0,189627.78
early_import,94.2430283180769,"-46.4501953125,-23.48876953125,-46.40625,-23.466796875",1,0,177296.05
